Sociedad,ItemCode,Fecha Local,Precio Unit Local,Moneda Local,Proveedor Local,Fecha Internacional,Precio Unit Internacional,Moneda Internacional,Proveedor Internacional
MP,A18110008629,2019-05-09 00:00:00,103.5,SOL,HYDRAULIC SUPPLY COMPANY SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008631,2025-07-25 00:00:00,2.0865,USD,COMERCIAL CISGE S.A.C.,2022-10-24 00:00:00,5.18,USD,SMITH BERGER MARINE
MP,A18110008633,2021-03-26 00:00:00,9.26,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008634,2021-02-17 00:00:00,15.9,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008635,2026-04-30 00:00:00,6.19,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008636,2019-09-17 00:00:00,19.9153,SOL,PROCASA S.R.LTDA.,2022-10-07 00:00:00,9.16,USD,SMITH BERGER MARINE
MP,A18110008637,2025-09-04 00:00:00,27.1186,SOL,FERRETERIA Y REPUESTOS HIDRAULICOS MARLON S.A.C. - FERHIMAR S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008639,2025-06-23 00:00:00,46.38,SOL,HYDRAULIC SUPPLY COMPANY SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008640,2026-04-30 00:00:00,6.67,USD,OHS INDUSTRIALES E.I.R.L.,2022-10-07 00:00:00,8.51,USD,SMITH BERGER MARINE
MP,A18110008641,2025-11-12 00:00:00,15.2542,SOL,FERRETERIA Y REPUESTOS HIDRAULICOS MARLON S.A.C. - FERHIMAR S.A.C.,2022-10-07 00:00:00,7,USD,SMITH BERGER MARINE
SP,A18110008641,2020-11-12 00:00:00,4.93,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008642,2025-11-27 00:00:00,34.78,SOL,HYDRAULIC SUPPLY COMPANY SAC,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110008642,2020-08-14 00:00:00,58.5,SOL,HYDRAULIC SUPPLY COMPANY S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008643,2020-10-27 00:00:00,14.13,USD,SOLUCIONES PESQUERAS S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110008643,2020-08-20 00:00:00,50,SOL,HYDRAULIC SUPPLY COMPANY S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008644,2025-11-26 00:00:00,6.38,USD,OHS INDUSTRIALES E.I.R.L.,2022-10-07 00:00:00,12.7,USD,SMITH BERGER MARINE
MP,A18110008646,2026-06-01 00:00:00,161.0169,SOL,HIDRASUR PERU S.A.C.,2022-10-07 00:00:00,25.03,USD,SMITH BERGER MARINE
SP,A18110008646,2020-11-12 00:00:00,13.2,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
